Ingredient,Quantity
Barbecued Chicken,528.1318681318681
Red Peppers,1760.4395604395602
Green Peppers,968.2417582417585
Tomatoes,6865.71428571427
Red Onions,10210.54945054943
Barbecue Sauce,176.04395604395606
Bacon,2464.6153846153843
Pepperoni,3814.285714285716
Italian Sausage,58.68131868131868
Chorizo Sausage,293.4065934065934
Brie Carre Cheese,176.04395604395606
Prosciutto,176.04395604395606
Caramelized Onions,
Pears,58.68131868131868
Thyme,29.34065934065934
Garlic,3520.8791208791126
?duja Salami,704.1758241758242
Pancetta,1056.2637362637363
Friggitello Peppers,176.04395604395606
Chicken,8802.197802197807
Artichokes,1584.3956043956052
Spinach,4225.054945054944
Jalapeno Peppers,528.1318681318681
Fontina Cheese,704.1758241758241
Gouda Cheese,352.0879120879121
Mushrooms,4929.230769230774
Asiago Cheese,1056.2637362637363
Alfredo Sauce,264.0659340659341
Pesto Sauce,1056.2637362637363
Mozzarella Cheese,1760.4395604395615
Provolone Cheese,176.04395604395606
Smoked Gouda Cheese,176.04395604395606
Romano Cheese,176.04395604395606
Blue Cheese,176.04395604395606
Ricotta Cheese,440.10989010989005
Gorgonzola Piccante Cheese,352.0879120879121
Parmigiano Reggiano Cheese,880.2197802197803
Green Olives,704.1758241758246
Feta Cheese,2464.6153846153857
Sliced Ham,
Pineapple,1056.2637362637363
Capocollo,7041.758241758242
Goat Cheese,1408.3516483516482
Oregano,176.04395604395606
Calabrese Salami,1760.4395604395602
Eggplant,704.1758241758242
Zucchini,704.1758241758241
Kalamata Olives,792.1978021978026
Sun-dried Tomatoes,352.08791208791206
Plum Tomatoes,704.1758241758242
Cilantro,352.08791208791206
Corn,2347.2527472527468
Chipotle Sauce,704.1758241758241
Anchovies,498.79120879120876
Genoa Salami,1056.2637362637363
Prosciutto di San Daniele,410.76923076923083
Arugula,176.04395604395606
Coarse Sicilian Salami,1408.3516483516485
Luganega Sausage,704.1758241758242
Onions,352.0879120879121
Soppressata Salami,1760.4395604395602
Peperoncini verdi,176.04395604395606
Thai Sweet Chilli Sauce,352.0879120879121
Beef Chuck Roast,3344.8351648351645
